SKU,Name,Description,Price,Regular Price,Sale Price,Stock,Category,Visibility,Image URL,Attribute 1 Name,Attribute 1 Value(s),Attribute 2 Name,Attribute 2 Value(s),Attribute 3 Name,Attribute 3 Value(s)
OIL-MOT-001,Motul 300V 10W-40 1L,Fully synthetic racing oil – exceptional engine protection for high-performance motorcycles.,24.99,29.99,,instock,Engine Oil,visible,https://example.com/images/motul-300v.jpg,Viscosity,10W-40,Volume,1L,Type,Synthetic
OIL-VAL-002,Valvoline VR1 20W-50 1L,Racing oil with high zinc (ZDDP), ideal for classic and race engines.,19.99,24.99,,instock,Engine Oil,visible,https://example.com/images/valvoline-vr1.jpg,Viscosity,20W-50,Volume,1L,Type,Synthetic
OIL-GUL-001,Gulf Pride 4T 20W-50 1L,API SL certified, good for daily use in Indian conditions.,10.99,12.99,,instock,Engine Oil,visible,https://example.com/images/gulf-pride.jpg,Viscosity,20W-50,Volume,1L,Type,Mineral
OIL-GUL-002,Gulf Synthetic 10W-40 1L,Low friction formula, improves fuel economy.,16.99,19.99,,instock,Engine Oil,visible,https://example.com/images/gulf-synthetic.jpg,Viscosity,10W-40,Volume,1L,Type,Synthetic
OIL-ELF-001,Elf Moto 4XT 10W-40 1L,Techynology for reduced wear and easy cold starts.,12.49,14.99,,outofstock,Engine Oil,visible,https://example.com/images/elf-4xt.jpg,Viscosity,10W-40,Volume,1L,Type,Semi-Synthetic
OIL-ELF-002,Elf Moto 2T 10W-30 1L,2-stroke engine oil, low smoke.,14.99,17.99,,instock,Engine Oil,visible,https://example.com/images/elf-2t.jpg,Viscosity,10W-30,Volume,1L,Type,Synthetic
OIL-HP-001,HP Racer 10W-50 1L,High performance racing oil for high-revving engines.,18.99,22.99,,instock,Engine Oil,visible,https://example.com/images/hp-racer.jpg,Viscosity,10W-50,Volume,1L,Type,Synthetic
OIL-HP-002,HP Milcy 20W-40 1L,Mineral oil for milage engines, good for older 2-valve engines.,7.99,9.99,,instock,Engine Oil,visible,https://example.com/images/hp-milcy.jpg,Viscosity,20W-40,Volume,1L,Type,Mineral
OIL-TOT-001,Total Quartz 9000 5W-40 1L,High-performance synthetic for sportbikes.,21.99,25.99,,instock,Engine Oil,visible,https://example.com/images/total-quartz.jpg,Viscosity,5W-40,Volume,1L,Type,Synthetic
OIL-TOT-002,Total Activa 20W-50 1L,Semi-synthetic for touring and off-road.,13.99,15.99,,instock,Engine Oil,visible,https://example.com/images/total-activa.jpg,Viscosity,20W-50,Volume,1L,Type,Semi-Synthetic
OIL-PET-001,Petronas Sprinta 10W-40 1L,Fully synthetic, excellent for high torque engines.,17.49,20.99,,instock,Engine Oil,visible,https://example.com/images/petronas-sprinta.jpg,Viscosity,10W-40,Volume,1L,Type,Synthetic
OIL-PET-002,Petronas Moto 20W-50 1L,Mineral oil for commuter and small displacement bikes.,8.49,10.49,,instock,Engine Oil,visible,https://example.com/images/petronas-moto.jpg,Viscosity,20W-50,Volume,1L,Type,Mineral
OIL-MOT-003,Motul 5100 15W-50 4L,Semi-synthetic, great value for large displacement bikes.,69.99,79.99,64.99,instock,Engine Oil,visible,https://example.com/images/motul-5100-4l.jpg,Viscosity,15W-50,Volume,4L,Type,Semi-Synthetic
OIL-CAS-003,Castrol Power1 Racing 10W-40 4L,Full synthetic racing oil, reduces friction.,89.99,99.99,,instock,Engine Oil,visible,https://example.com/images/castrol-racing-4l.jpg,Viscosity,10W-40,Volume,4L,Type,Synthetic
OIL-SHE-003,Shell Advance 10W-40 4L,Semi-synthetic, ideal for long distance commuting.,49.99,59.99,,instock,Engine Oil,visible,https://example.com/images/shell-4l.jpg,Viscosity,10W-40,Volume,4L,Type,Semi-Synthetic
TYRE-MRF-001,MRF Zapper FX1 Front Tyre 90/90-17,Tubeless front tyre for sport commuters, excellent grip.,49.99,59.99,,instock,Tyres,visible,https://example.com/images/mrf-fx1.jpg,Size,90/90-17,Type,Tubeless,Position,Front
TYRE-MRF-002,MRF Masseter Rear Tyre 130/80-18,Off-road bias tyre for adventure bikes, strong grip.,72.99,82.99,,instock,Tyres,visible,https://example.com/images/mrf-masseter.jpg,Size,130/80-18,Type,Tube,Position,Rear
TYRE-MRF-003,MRF Zapper S 120/80-18,Tubeless rear tyre for city and highway.,64.99,74.99,,instock,Tyres,visible,https://example.com/images/mrf-zapper-s.jpg,Size,120/80-18,Type,Tubeless,Position,Rear
TYRE-MRF-004,MRF Nylogrip 100/90-18,Tubeless all-rounder, long life.,58.99,68.99,54.99,instock,Tyres,visible,https://example.com/images/mrf-nylogrip.jpg,Size,100/90-18,Type,Tubeless,Position,Rear
TYRE-CEA-001,CEAT Zoom XL Rear 120/80-18,Tube type, durable compound for rough roads.,62.99,72.99,,instock,Tyres,visible,https://example.com/images/ceat-zoom-xl.jpg,Size,120/80-18,Type,Tube,Position,Rear
TYRE-CEA-002,CEAT Gripp XL Front 90/90-17,Tubeless, excellent wet weather performance.,44.99,54.99,,instock,Tyres,visible,https://example.com/images/ceat-gripp.jpg,Size,90/90-17,Type,Tubeless,Position,Front
TYRE-CEA-003,CEAT Sport 100/90-18,Rear tubeless, sporty tread pattern.,59.99,69.99,,instock,Tyres,visible,https://example.com/images/ceat-sport.jpg,Size,100/90-18,Type,Tubeless,Position,Rear
TYRE-MIC-001,Michelin Pilot Street 110/70-17,Radial tubeless, silica compound for wet grip.,79.99,89.99,,instock,Tyres,visible,https://example.com/images/michelin-pilot-street.jpg,Size,110/70-17,Type,Tubeless,Position,Front
TYRE-MIC-002,Michelin Pilot Street 140/70-17,Radial rear, excellent stability.,99.99,119.99,94.99,instock,Tyres,visible,https://example.com/images/michelin-pilot-rear.jpg,Size,140/70-17,Type,Tubeless,Position,Rear
TYRE-PIR-001,Pirelli Diablo Rosso II 150/60-17,Sport tyre, aggressive tread pattern, high grip.,129.99,149.99,,instock,Tyres,visible,https://example.com/images/pirelli-diablo.jpg,Size,150/60-17,Type,Tubeless,Position,Rear
TYRE-PIR-002,Pirelli Angel GT 120/70-17,Sport touring, dual compound for long life.,109.99,129.99,,instock,Tyres,visible,https://example.com/images/pirelli-angel.jpg,Size,120/70-17,Type,Tubeless,Position,Front
TYRE-DUN-001,Dunlop Arrowmax 100/80-17,Tubeless, all-rounder, long life.,55.99,65.99,,instock,Tyres,visible,https://example.com/images/dunlop-arrowmax.jpg,Size,100/80-17,Type,Tubeless,Position,Front
TYRE-DUN-002,Dunlop Sportmax 140/70-17,Racing derived compound, good for twisties.,89.99,104.99,84.99,instock,Tyres,visible,https://example.com/images/dunlop-sportmax.jpg,Size,140/70-17,Type,Tubeless,Position,Rear
TYRE-BRI-001,Bridgestone Battlax Hypersport 120/70-17,Triple compound, ultimate grip.,149.99,169.99,,instock,Tyres,visible,https://example.com/images/bridgestone-battlax.jpg,Size,120/70-17,Type,Tubeless,Position,Front
TYRE-BRI-002,Bridgestone BT-46 110/90-18,Classic bias-ply, good for retro bikes.,79.99,94.99,,instock,Tyres,visible,https://example.com/images/bridgestone-bt46.jpg,Size,110/90-18,Type,Tube,Position,Rear
TYRE-CON-001,Continental ContiGo 100/90-18,Dual sport, long mileage.,74.99,84.99,,instock,Tyres,visible,https://example.com/images/continental-contigo.jpg,Size,100/90-18,Type,Tubeless,Position,Rear
TYRE-CON-002,Continental ContiAttack 120/70-17,Hyper sport, aggressive street grip.,139.99,159.99,,instock,Tyres,visible,https://example.com/images/continental-attack.jpg,Size,120/70-17,Type,Tubeless,Position,Front
TYRE-TVS-001,TVS Eurogrip 80/100-18,Tubeless, budget friendly for commuters.,42.99,52.99,39.99,instock,Tyres,visible,https://example.com/images/tvs-eurogrip.jpg,Size,80/100-18,Type,Tubeless,Position,Rear
TYRE-TVS-002,TVS Protorq 100/90-18,Tubeless, good grip for scooters and commuters.,49.99,59.99,,instock,Tyres,visible,https://example.com/images/tvs-protorq.jpg,Size,100/90-18,Type,Tubeless,Position,Rear
TYRE-APO-001,Apollo Alpha H1 140/70-17,Dual compound sport touring, excellent life.,89.99,104.99,84.99,instock,Tyres,visible,https://example.com/images/apollo-alpha.jpg,Size,140/70-17,Type,Tubeless,Position,Rear
TYRE-APO-002,Apollo Tramplr 120/90-17,Off-road bias, rugged tread.,77.99,89.99,,instock,Tyres,visible,https://example.com/images/apollo-tramplr.jpg,Size,120/90-17,Type,Tube,Position,Rear
TYRE-MET-001,Metzeler Roadtec 01 120/70-17,Sport touring with high silica content.,149.99,179.99,,instock,Tyres,visible,https://example.com/images/metzeler-roadtec.jpg,Size,120/70-17,Type,Tubeless,Position,Front
TYRE-MET-002,Metzeler Tourance 150/70-17,Adventure tyre, long life on and off-road.,164.99,189.99,,instock,Tyres,visible,https://example.com/images/metzeler-tourance.jpg,Size,150/70-17,Type,Tubeless,Position,Rear
